[05042018]-[12:09:22 PM]: [127.0.0.1]: 1x  Bones (2428/4446).
[06042018]-[12:07:24 PM]: [127.0.0.1]: 1x  Big bones (3088/3497).
[06042018]-[12:07:43 PM]: [127.0.0.1]: 1x  Big bones (3087/3497).
[06042018]-[12:07:43 PM]: [127.0.0.1]: 1x  Dragon dagger (3087/3497).
[06042018]-[12:07:46 PM]: [127.0.0.1]: 1x  Bones (3087/3496).
[06042018]-[12:07:46 PM]: [127.0.0.1]: 5x  Snapdragon seed (3087/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 4x  Dragon bones (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 4x  Dragon bones (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 4x  Dragon bones (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 4x  Dragon bones (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 5x  Black dragonhide (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 5x  Black dragonhide (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 5x  Black dragonhide (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 5x  Black dragonhide (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 5x  Black dragonhide (3086/3496).
[06042018]-[12:08:36 PM]: [127.0.0.1]: 1x  Battlestaff (3086/3496).
[01052018]-[21:31:16 PM]: [127.0.0.1]: 1x  Primal 2h sword (3085/3499).
[01052018]-[21:31:17 PM]: [127.0.0.1]: 1x  Primal 2h sword (3085/3499).
[01052018]-[21:31:27 PM]: [127.0.0.1]: 1x  null (3085/3499).
[01052018]-[21:31:46 PM]: [127.0.0.1]: 1x  Primal rapier (3085/3499).
[21062018]-[13:34:05 PM]: [127.0.0.1]: 15x  Dragon bolt tips (3094/3496).
[21062018]-[13:35:22 PM]: [127.0.0.1]: 1x  Amulet of glory(1) (3094/3497).
[21062018]-[13:35:23 PM]: [127.0.0.1]: 1x  Amulet of glory(4) (3094/3497).
[21062018]-[15:05:30 PM]: [127.0.0.1]: 1x  Bones (3090/3506).
[21062018]-[15:05:30 PM]: [127.0.0.1]: 7500x  Coins (3090/3506).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
[21062018]-[15:50:04 PM]: [127.0.0.1]: 100x  Shield left half (3095/3497).
